Course,Credits,Semester_Number
ENGL 15 (or honors equivalent (GWS))*,3,1
CAS 100 (or honors equivalent (GWS))*,3,2
CAS 101N*,3,1
CAS Additional course (work with adviser)*,3,2
Quantification (GQ)*,3,1
Humanities (GH) + (US),3,2
Social&&Behavioral Sciences (GS) (FYS),3,1
Natural Sciences (GN),3,2
World Language 1,4,1
World Language 2,4,2
CAS Additional course (work with adviser)*,3,3
CAS Additional course (work with adviser)*,3,4
Quantification (GQ)*,3,3
Natural Sciences (GN),3,4
Arts (GA) + (IL),3,3
Social&&Behavioral Sciences (GS),3,4
BA Fields,3,3
Humanities (GH),3,4
World Language 3,4,3
BA Fields,3,4
CAS 301*,3,5
CAS 303*,3,6
CAS 4XX-level course (work with adviser)*,3,5
CAS 311*,3,6
Natural Sciences (GN),3,5
BA Fields,3,6
Arts (GA),3,5
ENGL 202A||  202B||  202C|||| 202D*,3,6
Elective,3,5
Elective,3,6
CAS 304*,3,7
CAS 4XX-level course (work with adviser)*,3,8
CAS 4XX-level course (work with adviser)*,3,7
CAS 4XX-level course (work with adviser)*,3,8
Supporting CAS course (work with adviser)*,3,7
Elective,3,8
World Cultures,3,7
Elective,3,8
