Course,Credits,Semester_Number
VBSC 50 (or First-Year Seminar),1-3,1
ENGL 15|| 30H (GWS)*,3,2
Economics/Business Selection (GS)1,3,1
General Education selection (GA/GH/Integrated),3,2
CHEM 110 (GN)*2,3,1
CHEM 112 (GN),3,2
CHEM 111 (GN)*2,1,1
CHEM 113 (GN),1,2
MATH 140|| 140B (GQ)*,4,1
MATH 141|| 141B (GQ)*,4,2
General Education selection (GA/GH/GHW/Integrated),3,1
General Education selection (GA/GH/GHW/Integrated),3,2
BIOL 110 (GN)*2,4,3
BIOL 220W||  230W||  240W||||BMB  251 (GN),3-4,4
PHYS 250 (GN),4,3
PHYS 251 (GN),4,4
CHEM 202|| 210,3,3
CHEM 203|| 212&& 213W,3-5,4
CAS 100A||  100B|||| 100C (GWS)*,3,3
ANSC 201*,4,4
BMB 401|| 211&& 212,3-4,5
BMB 402|| 221,2-3,6
ANSC 301*,3,5
VBSC 211 (GN),3,6
STAT 250|| 200 (GQ),3,5
MICRB 201,3,6
BIOL 222|| 322*,3,5
MICRB 202,2,6
General Education selection (GA/GH/GHW/Integrated),3,5
Elective,3,6
VBSC 421,4,7
VBSC 403*,3,8
Supporting Courses (see department list)*,6,7
BIOL 472||ANSC  423,3,8
Elective,3,7
Electives,6,8
ENGL 202C (GWS)*4,3,7
Supporting Courses (see department list)*,3,8
