Course,Credits,Semester_Number
ECON 102 (GS)*#†,3,1
EBF 200*,3,2
EMSC 100S|| CAS  100A|| CAS  100B||||CAS  100C (GWS)‡†1,3,1
ENGL 15||  30H||||ESL  15 (GWS)‡†,3,2
MATH 140|| 140G (GQ)*‡#†,4,1
MATH 141|| 141G (GQ)*‡†,4,2
Introductory Level Elective2,3,1
Introductory Level Elective2,3-4,2
CMPSC 101||  200|||| 201,3,3
ACCTG 211,4,4
EBF 301*,3,3
EME 210||STAT  401*,3,4
ECON 104 (GS)†,3,3
General Education Knowledge Domain,3,4
ECON 302*,3,3
General Education Integrative Studies,3,4
ENGL 202C|| 202D (GWS)‡†,3,3
Elective,3,4
BLAW 243|| ERM  411||||BA  243,3-4,5
EGEE 401|| EME  444||||METEO  469,3,6
IB 303||EGEE  120 (IL),3,5
EME 460*,3,6
RM 302*,3,5
Advanced Level Elective3,3,6
General Education Knowledge Domain,3,5
General Education Knowledge Domain,3,6
General Education Health&&Wellness (GHW),1.5,5
Elective,3,6
EBF 473,3,7
EBF 304W (or EBF 404W in the Fall)*,3,8
EBF 483*,3,7
EBF 401*,3,8
EBF 484*,3,7
EGEE 401|| EME  444||||METEO  469,3,8
Elective,3,7
Elective,3,8
Elective,3,7
General Education Health&&Wellness (GHW),1.5,8
