Course,Credits,Semester_Number
AE 124 (or First Year Seminar)†,1,1.0
ARTH 202N (GA) (US/IL)†,3,2.0
ECON 102|| 104 (GS)†,3,1.0
EDSGN 100#,3,2.0
CHEM 110 (GN)*#†,3,1.0
MATH 141|| 141E (GQ)*‡#†,4,2.0
CHEM 111,1,1.0
PHYS 211 (PHYS 211L&&211R) (GN)*#†,4,2.0
ENGL 15||  30H||||ESL  15 (GWS)‡†,3,1.0
CAS 100A|| 100B (GWS)‡†,3,2.0
AE 202,3,3.0
AE 222,3,4.0
AE 221,3,3.0
AE 240,3,4.0
ARCH 130A,3,3.0
ARCH 130B,3,4.0
EMCH 211,3,3.0
EMCH 213,3,4.0
MATH 250,3,3.0
PHYS 212 (PHYS 212L&&212R) (GN),4,4.0
AE 308*,4,5.0
AE 311*,3,6.0
AE 309,3,5.0
AE 372*,3,6.0
AE 310*,3,5.0
ARCH 100||LARCH  60 (GA)†,3,6.0
MATH 220,3,5.0
EMCH 212,3,6.0
MATH 231,2,5.0
General Education Course (GHW),3,6.0
AE 404,3,7.0
AE 405,4,8.0
AE 441,1,7.0
AE 472,3,8.0
AE 475,3,7.0
AE 476,3,8.0
ARCH 441,3,7.0
AE 477,3,8.0
MGMT 326,3,7.0
STAT 401||IE  424,3,8.0
AE 473,3,
AE 482,4,
AE 481W,4,
General Education Course,3,
CE 209,2,
General Education Course,3,
ENGL 202C (GWS)‡†,3,
Department Elective,3,
Department Elective,3,
Department Elective,2,
