Course,Credits,Semester_Number
CSD 146*,3,1
CSD 230*,3,2
General Education Course (GWS) (ENGL 15|| ENGL 30H|| ESL 15||||ENGL/CAS 137H recommended)‡,3,1
HDFS 129||PSYCH  212 (General Education Course|| GS|| Exploration)†,3,2
PSYCH 100 (GS)†,3,1
STAT 200|| EDPSY  101||||PSYCH  200 (STAT 200 Recommended)‡†,3-4,2
General Education Course (Integrative Studies: Inter-Domain)1,3,1
General Education Course (GWS) (CAS 100A|| CAS 100B|| CAS 100C||ENGL/CAS 138T recommended)‡,3,2
General Education Course (GH)1,3,1
General Education Course (GN) Human Biological2,3,2
CSD 269*,3,3
CSD 311*,3,4
CSD 300*,3,3
CSD 331*,3,4
HDFS 229||  249N||  315||  411||  418||  432|| PSYCH  270||||PSYCH  471,3,3
EDPSY 14||PSYCH  261,3,4
General Education Course (Integrative Studies: Inter-Domain)1,3,3
General Education Course (Exploration)1,3,4
General Education Course (GN|| Physical Science|| Exploration)2,3,3
General Education Course (GA)1,3,4
CSD 433*,3,5
CSD 341*,3,6
CSD 442*,3,5
CSD 462*,3,6
General Education Course (GQ)‡1,3,5
General Education Course (GWS) (ENGL 202A||ENGL 202B recommended)‡,3,6
General Education Course (GHW)1,3,5
Elective1,3,6
Elective1,3,5
Elective1,3,6
CSD 444*,3,7
CSD 459W*,3,8
CSD 451*,3,7
Elective (CSD 431 recommended)1,3,8
Elective1,3,7
Elective1,3,8
Elective1,3,7
Elective1,3-4,8
Elective1,3,7
Elective1,2-3,8
