Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Middle East Studies Minor,18,ARAB 401,N/A,,Select 15 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses with Middle East content not listed below may count toward the minor in consultation with the director of Middle East Studies.; Some courses may require other course work as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-minor/
Middle East Studies Minor,18,ARAB 402,N/A,,Select 15 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses with Middle East content not listed below may count toward the minor in consultation with the director of Middle East Studies.; Some courses may require other course work as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-minor/
Middle East Studies Minor,18,ARTH 125,N/A,,Select 15 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses with Middle East content not listed below may count toward the minor in consultation with the director of Middle East Studies.; Some courses may require other course work as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-minor/
Middle East Studies Minor,18,ASIA 186,N/A,,Select 15 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses with Middle East content not listed below may count toward the minor in consultation with the director of Middle East Studies.; Some courses may require other course work as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-minor/
Middle East Studies Minor,18,ASIA 401,N/A,,Select 15 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses with Middle East content not listed below may count toward the minor in consultation with the director of Middle East Studies.; Some courses may require other course work as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-minor/
Middle East Studies Minor,18,CAMS 10,N/A,,Select 15 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses with Middle East content not listed below may count toward the minor in consultation with the director of Middle East Studies.; Some courses may require other course work as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-minor/
Middle East Studies Minor,18,CAMS 10U,N/A,,Select 15 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses with Middle East content not listed below may count toward the minor in consultation with the director of Middle East Studies.; Some courses may require other course work as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-minor/
Middle East Studies Minor,18,CAMS 20,N/A,,Select 15 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses with Middle East content not listed below may count toward the minor in consultation with the director of Middle East Studies.; Some courses may require other course work as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-minor/
Middle East Studies Minor,18,CAMS 44,N/A,,Select 15 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses with Middle East content not listed below may count toward the minor in consultation with the director of Middle East Studies.; Some courses may require other course work as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-minor/
Middle East Studies Minor,18,CAMS/JST/RLST 90,N/A,,Select 15 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses with Middle East content not listed below may count toward the minor in consultation with the director of Middle East Studies.; Some courses may require other course work as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-minor/
Middle East Studies Minor,18,CAMS/JST/RLST 102,N/A,,Select 15 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses with Middle East content not listed below may count toward the minor in consultation with the director of Middle East Studies.; Some courses may require other course work as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-minor/
Middle East Studies Minor,18,CAMS 104,N/A,,Select 15 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses with Middle East content not listed below may count toward the minor in consultation with the director of Middle East Studies.; Some courses may require other course work as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-minor/
Middle East Studies Minor,18,CAMS 115,N/A,,Select 15 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses with Middle East content not listed below may count toward the minor in consultation with the director of Middle East Studies.; Some courses may require other course work as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-minor/
Middle East Studies Minor,18,CAMS 405,N/A,,Select 15 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses with Middle East content not listed below may count toward the minor in consultation with the director of Middle East Studies.; Some courses may require other course work as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-minor/
Middle East Studies Minor,18,CAMS 470,N/A,,Select 15 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses with Middle East content not listed below may count toward the minor in consultation with the director of Middle East Studies.; Some courses may require other course work as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-minor/
Middle East Studies Minor,18,CMLIT 7,N/A,,Select 15 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses with Middle East content not listed below may count toward the minor in consultation with the director of Middle East Studies.; Some courses may require other course work as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-minor/
Middle East Studies Minor,18,CMLIT 449,N/A,,Select 15 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses with Middle East content not listed below may count toward the minor in consultation with the director of Middle East Studies.; Some courses may require other course work as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-minor/
Middle East Studies Minor,18,HEBR 1,N/A,,Select 15 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses with Middle East content not listed below may count toward the minor in consultation with the director of Middle East Studies.; Some courses may require other course work as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-minor/
