Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
International Agriculture Minor,18,INTAG 100N,"Everyone Eats: Hunger, Food Security & Global Agriculture",3,Mandatory,"This minor requires 18 credits and may be combined with any undergraduate major in the University. Some courses require prerequisites not included in the minor. World language competence is highly recommended.; Students are given the option of participating in a semester study abroad program that would be discussed and approved by the INTAG coordinator and the student's academic adviser. Twelve credits maximum can count toward the minor, and should normally only fulfill elective and internationally-oriented experience credits, and not replace prescribed credits for the minor. The semester study abroad program needs to focus on courses within the food, agriculture or natural resources areas.; Students must have six credits of 400-level course work for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; With approval of INTAG minor coordinator.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/international-agriculture-minor/
International Agriculture Minor,18,INTAG 490,Senior Seminar in International Agriculture,3,Mandatory,"This minor requires 18 credits and may be combined with any undergraduate major in the University. Some courses require prerequisites not included in the minor. World language competence is highly recommended.; Students are given the option of participating in a semester study abroad program that would be discussed and approved by the INTAG coordinator and the student's academic adviser. Twelve credits maximum can count toward the minor, and should normally only fulfill elective and internationally-oriented experience credits, and not replace prescribed credits for the minor. The semester study abroad program needs to focus on courses within the food, agriculture or natural resources areas.; Students must have six credits of 400-level course work for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; With approval of INTAG minor coordinator.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/international-agriculture-minor/
International Agriculture Minor,18,,Select three courses from the first two categories (9 credits) and one internationally-oriented experience from the third category (3 credits),,Select 0-3 Credits,"This minor requires 18 credits and may be combined with any undergraduate major in the University. Some courses require prerequisites not included in the minor. World language competence is highly recommended.; Students are given the option of participating in a semester study abroad program that would be discussed and approved by the INTAG coordinator and the student's academic adviser. Twelve credits maximum can count toward the minor, and should normally only fulfill elective and internationally-oriented experience credits, and not replace prescribed credits for the minor. The semester study abroad program needs to focus on courses within the food, agriculture or natural resources areas.; Students must have six credits of 400-level course work for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; With approval of INTAG minor coordinator.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/international-agriculture-minor/
International Agriculture Minor,18,AEE 400,N/A,,Select 0-3 Credits,"This minor requires 18 credits and may be combined with any undergraduate major in the University. Some courses require prerequisites not included in the minor. World language competence is highly recommended.; Students are given the option of participating in a semester study abroad program that would be discussed and approved by the INTAG coordinator and the student's academic adviser. Twelve credits maximum can count toward the minor, and should normally only fulfill elective and internationally-oriented experience credits, and not replace prescribed credits for the minor. The semester study abroad program needs to focus on courses within the food, agriculture or natural resources areas.; Students must have six credits of 400-level course work for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; With approval of INTAG minor coordinator.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/international-agriculture-minor/
International Agriculture Minor,18,AGBM 338,N/A,,Select 0-3 Credits,"This minor requires 18 credits and may be combined with any undergraduate major in the University. Some courses require prerequisites not included in the minor. World language competence is highly recommended.; Students are given the option of participating in a semester study abroad program that would be discussed and approved by the INTAG coordinator and the student's academic adviser. Twelve credits maximum can count toward the minor, and should normally only fulfill elective and internationally-oriented experience credits, and not replace prescribed credits for the minor. The semester study abroad program needs to focus on courses within the food, agriculture or natural resources areas.; Students must have six credits of 400-level course work for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; With approval of INTAG minor coordinator.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/international-agriculture-minor/
International Agriculture Minor,18,ANTH 120,N/A,,Select 0-3 Credits,"This minor requires 18 credits and may be combined with any undergraduate major in the University. Some courses require prerequisites not included in the minor. World language competence is highly recommended.; Students are given the option of participating in a semester study abroad program that would be discussed and approved by the INTAG coordinator and the student's academic adviser. Twelve credits maximum can count toward the minor, and should normally only fulfill elective and internationally-oriented experience credits, and not replace prescribed credits for the minor. The semester study abroad program needs to focus on courses within the food, agriculture or natural resources areas.; Students must have six credits of 400-level course work for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; With approval of INTAG minor coordinator.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/international-agriculture-minor/
International Agriculture Minor,18,ANTH 472,N/A,,Select 0-3 Credits,"This minor requires 18 credits and may be combined with any undergraduate major in the University. Some courses require prerequisites not included in the minor. World language competence is highly recommended.; Students are given the option of participating in a semester study abroad program that would be discussed and approved by the INTAG coordinator and the student's academic adviser. Twelve credits maximum can count toward the minor, and should normally only fulfill elective and internationally-oriented experience credits, and not replace prescribed credits for the minor. The semester study abroad program needs to focus on courses within the food, agriculture or natural resources areas.; Students must have six credits of 400-level course work for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; With approval of INTAG minor coordinator.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/international-agriculture-minor/
International Agriculture Minor,18,BBH 305,N/A,,Select 0-3 Credits,"This minor requires 18 credits and may be combined with any undergraduate major in the University. Some courses require prerequisites not included in the minor. World language competence is highly recommended.; Students are given the option of participating in a semester study abroad program that would be discussed and approved by the INTAG coordinator and the student's academic adviser. Twelve credits maximum can count toward the minor, and should normally only fulfill elective and internationally-oriented experience credits, and not replace prescribed credits for the minor. The semester study abroad program needs to focus on courses within the food, agriculture or natural resources areas.; Students must have six credits of 400-level course work for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; With approval of INTAG minor coordinator.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/international-agriculture-minor/
International Agriculture Minor,18,BBH 402,N/A,,Select 0-3 Credits,"This minor requires 18 credits and may be combined with any undergraduate major in the University. Some courses require prerequisites not included in the minor. World language competence is highly recommended.; Students are given the option of participating in a semester study abroad program that would be discussed and approved by the INTAG coordinator and the student's academic adviser. Twelve credits maximum can count toward the minor, and should normally only fulfill elective and internationally-oriented experience credits, and not replace prescribed credits for the minor. The semester study abroad program needs to focus on courses within the food, agriculture or natural resources areas.; Students must have six credits of 400-level course work for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; With approval of INTAG minor coordinator.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/international-agriculture-minor/
International Agriculture Minor,18,BBH 407,N/A,,Select 0-3 Credits,"This minor requires 18 credits and may be combined with any undergraduate major in the University. Some courses require prerequisites not included in the minor. World language competence is highly recommended.; Students are given the option of participating in a semester study abroad program that would be discussed and approved by the INTAG coordinator and the student's academic adviser. Twelve credits maximum can count toward the minor, and should normally only fulfill elective and internationally-oriented experience credits, and not replace prescribed credits for the minor. The semester study abroad program needs to focus on courses within the food, agriculture or natural resources areas.; Students must have six credits of 400-level course work for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; With approval of INTAG minor coordinator.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/international-agriculture-minor/
International Agriculture Minor,18,CED 230,N/A,,Select 0-3 Credits,"This minor requires 18 credits and may be combined with any undergraduate major in the University. Some courses require prerequisites not included in the minor. World language competence is highly recommended.; Students are given the option of participating in a semester study abroad program that would be discussed and approved by the INTAG coordinator and the student's academic adviser. Twelve credits maximum can count toward the minor, and should normally only fulfill elective and internationally-oriented experience credits, and not replace prescribed credits for the minor. The semester study abroad program needs to focus on courses within the food, agriculture or natural resources areas.; Students must have six credits of 400-level course work for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; With approval of INTAG minor coordinator.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/international-agriculture-minor/
International Agriculture Minor,18,CED 420,N/A,,Select 0-3 Credits,"This minor requires 18 credits and may be combined with any undergraduate major in the University. Some courses require prerequisites not included in the minor. World language competence is highly recommended.; Students are given the option of participating in a semester study abroad program that would be discussed and approved by the INTAG coordinator and the student's academic adviser. Twelve credits maximum can count toward the minor, and should normally only fulfill elective and internationally-oriented experience credits, and not replace prescribed credits for the minor. The semester study abroad program needs to focus on courses within the food, agriculture or natural resources areas.; Students must have six credits of 400-level course work for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; With approval of INTAG minor coordinator.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/international-agriculture-minor/
International Agriculture Minor,18,CED 425,N/A,,Select 0-3 Credits,"This minor requires 18 credits and may be combined with any undergraduate major in the University. Some courses require prerequisites not included in the minor. World language competence is highly recommended.; Students are given the option of participating in a semester study abroad program that would be discussed and approved by the INTAG coordinator and the student's academic adviser. Twelve credits maximum can count toward the minor, and should normally only fulfill elective and internationally-oriented experience credits, and not replace prescribed credits for the minor. The semester study abroad program needs to focus on courses within the food, agriculture or natural resources areas.; Students must have six credits of 400-level course work for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; With approval of INTAG minor coordinator.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/international-agriculture-minor/
International Agriculture Minor,18,CED 450,N/A,,Select 0-3 Credits,"This minor requires 18 credits and may be combined with any undergraduate major in the University. Some courses require prerequisites not included in the minor. World language competence is highly recommended.; Students are given the option of participating in a semester study abroad program that would be discussed and approved by the INTAG coordinator and the student's academic adviser. Twelve credits maximum can count toward the minor, and should normally only fulfill elective and internationally-oriented experience credits, and not replace prescribed credits for the minor. The semester study abroad program needs to focus on courses within the food, agriculture or natural resources areas.; Students must have six credits of 400-level course work for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; With approval of INTAG minor coordinator.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/international-agriculture-minor/
International Agriculture Minor,18,GEOG 3N,N/A,,Select 0-3 Credits,"This minor requires 18 credits and may be combined with any undergraduate major in the University. Some courses require prerequisites not included in the minor. World language competence is highly recommended.; Students are given the option of participating in a semester study abroad program that would be discussed and approved by the INTAG coordinator and the student's academic adviser. Twelve credits maximum can count toward the minor, and should normally only fulfill elective and internationally-oriented experience credits, and not replace prescribed credits for the minor. The semester study abroad program needs to focus on courses within the food, agriculture or natural resources areas.; Students must have six credits of 400-level course work for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; With approval of INTAG minor coordinator.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/international-agriculture-minor/
International Agriculture Minor,18,GEOG 30N,N/A,,Select 0-3 Credits,"This minor requires 18 credits and may be combined with any undergraduate major in the University. Some courses require prerequisites not included in the minor. World language competence is highly recommended.; Students are given the option of participating in a semester study abroad program that would be discussed and approved by the INTAG coordinator and the student's academic adviser. Twelve credits maximum can count toward the minor, and should normally only fulfill elective and internationally-oriented experience credits, and not replace prescribed credits for the minor. The semester study abroad program needs to focus on courses within the food, agriculture or natural resources areas.; Students must have six credits of 400-level course work for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; With approval of INTAG minor coordinator.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/international-agriculture-minor/
