Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
"Geosciences, Minor",18,GEOSC 20,Planet Earth,N/A,Mandatory,"The minor consists of 18 credits of course work, some of which are filled through specific courses as indicated below.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Consult with your adviser. At least 3 credits in this category must be taken at the 400 level; the remaining 2 credits may be at the 200 level or above.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-minor/
"Geosciences, Minor",18,GEOSC 1,Physical Geology,3,Mandatory,"The minor consists of 18 credits of course work, some of which are filled through specific courses as indicated below.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Consult with your adviser. At least 3 credits in this category must be taken at the 400 level; the remaining 2 credits may be at the 200 level or above.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-minor/
"Geosciences, Minor",18,GEOSC 201,Earth Materials,4,Mandatory,"The minor consists of 18 credits of course work, some of which are filled through specific courses as indicated below.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Consult with your adviser. At least 3 credits in this category must be taken at the 400 level; the remaining 2 credits may be at the 200 level or above.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-minor/
"Geosciences, Minor",18,GEOSC 470W,Introduction to Field Geology,3,Mandatory,"The minor consists of 18 credits of course work, some of which are filled through specific courses as indicated below.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Consult with your adviser. At least 3 credits in this category must be taken at the 400 level; the remaining 2 credits may be at the 200 level or above.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-minor/
"Geosciences, Minor",18,EMSC 470W,Undergraduate Collaborative Research in Earth and Materials Sciences,N/A,Mandatory,"The minor consists of 18 credits of course work, some of which are filled through specific courses as indicated below.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Consult with your adviser. At least 3 credits in this category must be taken at the 400 level; the remaining 2 credits may be at the 200 level or above.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-minor/
"Geosciences, Minor",18,GEOSC 21,Earth and Life: Origin and Evolution,3,Mandatory,"The minor consists of 18 credits of course work, some of which are filled through specific courses as indicated below.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Consult with your adviser. At least 3 credits in this category must be taken at the 400 level; the remaining 2 credits may be at the 200 level or above.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-minor/
"Geosciences, Minor",18,or GEOSC 71,,N/A,Mandatory,"The minor consists of 18 credits of course work, some of which are filled through specific courses as indicated below.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Consult with your adviser. At least 3 credits in this category must be taken at the 400 level; the remaining 2 credits may be at the 200 level or above.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-minor/
"Geosciences, Minor",18,,Select 5 credits from a number of courses covering a variety of disciplines and fields of interest,,Select 5 Credits,"The minor consists of 18 credits of course work, some of which are filled through specific courses as indicated below.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Consult with your adviser. At least 3 credits in this category must be taken at the 400 level; the remaining 2 credits may be at the 200 level or above.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-minor/
