Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Jewish Studies Minor,18,JST/HEBR 10,Jewish Civilization,3,Mandatory,"For the minor in Jewish Studies, a minimum of 18 credits is required, with at least 6 credits at the 400 level.; Up to 9 credits of study abroad may be substituted for supporting course requirements. No more than 4 credits of Modern Hebrew may count toward the requirements for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Up to 9 credits of education abroad courses selected in consultation with the adviser may be applied to the requirements for the minor. No more than 4 credits of Modern Hebrew may count toward the requirements for the minor.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/jewish-studies-minor/
Jewish Studies Minor,18,,"Select 15 credits in Jewish Studies, 6 credits of which must be at the 400 level",,Select 15 Credits,"For the minor in Jewish Studies, a minimum of 18 credits is required, with at least 6 credits at the 400 level.; Up to 9 credits of study abroad may be substituted for supporting course requirements. No more than 4 credits of Modern Hebrew may count toward the requirements for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Up to 9 credits of education abroad courses selected in consultation with the adviser may be applied to the requirements for the minor. No more than 4 credits of Modern Hebrew may count toward the requirements for the minor.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/jewish-studies-minor/
