Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Leadership Development Minor,18,AEE 495,Internship,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/leadership-development-minor/
Leadership Development Minor,18,AEE 460,Foundations in Leadership Development,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/leadership-development-minor/
Leadership Development Minor,18,AEE 360,Leadership Development for Small Groups,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/leadership-development-minor/
Leadership Development Minor,18,AEE 465,"Leadership Practices:  Power, Influences, and Impact",3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/leadership-development-minor/
Leadership Development Minor,18,,"Select 6 credits in consultation with an adviser from courses on the Department approved list that focus in one of three support areas: leadership styles, ethical and moral dimensions of leadership, or global leadership",,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/leadership-development-minor/
