Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Film Studies Minor,18,COMM 250,Film History and Theory,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; The list of department-approved supporting courses can be found at: https://www.bellisario.psu.edu/departments/film-production-media-studies/film-studies-minor-supporting-courses.",https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/film-studies-minor/
Film Studies Minor,18,COMM 150N,The Art of the Cinema,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; The list of department-approved supporting courses can be found at: https://www.bellisario.psu.edu/departments/film-production-media-studies/film-studies-minor-supporting-courses.",https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/film-studies-minor/
Film Studies Minor,18,,Select 12 credits from an approved department list in consultation with an adviser (6 credits must be at the 400 level),,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; The list of department-approved supporting courses can be found at: https://www.bellisario.psu.edu/departments/film-production-media-studies/film-studies-minor-supporting-courses.",https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/film-studies-minor/
