Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Sociology Minor,18,SOC 1,Introductory Sociology,3,Mandatory,"At least 12 credits must be taken within the Penn State system, including 3 credits at the 400 level. No more than 6 credits may be from study-abroad courses. Students must declare the SOC minor prior to the end of the late drop period of the student’s final semester.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sociology-minor/
Sociology Minor,18,SOC 294 | SOC 494 | SOC 296 | SOC 496,N/A,,Select 15 Credits,"At least 12 credits must be taken within the Penn State system, including 3 credits at the 400 level. No more than 6 credits may be from study-abroad courses. Students must declare the SOC minor prior to the end of the late drop period of the student’s final semester.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sociology-minor/
Sociology Minor,18,SOC 269 | SOC 369,N/A,,Select 15 Credits,"At least 12 credits must be taken within the Penn State system, including 3 credits at the 400 level. No more than 6 credits may be from study-abroad courses. Students must declare the SOC minor prior to the end of the late drop period of the student’s final semester.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sociology-minor/
Sociology Minor,18,SOC 469,N/A,,Select 15 Credits,"At least 12 credits must be taken within the Penn State system, including 3 credits at the 400 level. No more than 6 credits may be from study-abroad courses. Students must declare the SOC minor prior to the end of the late drop period of the student’s final semester.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sociology-minor/
Sociology Minor,18,SOC 469 | SOC 494 | SOC 496,N/A,,Select 15 Credits,"At least 12 credits must be taken within the Penn State system, including 3 credits at the 400 level. No more than 6 credits may be from study-abroad courses. Students must declare the SOC minor prior to the end of the late drop period of the student’s final semester.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sociology-minor/
Sociology Minor,18,SOC 469 | SOC 294 | SOC 494 | SOC 296 | SOC 496,N/A,,Select 15 Credits,"At least 12 credits must be taken within the Penn State system, including 3 credits at the 400 level. No more than 6 credits may be from study-abroad courses. Students must declare the SOC minor prior to the end of the late drop period of the student’s final semester.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sociology-minor/
Sociology Minor,18,SOC 300,N/A,,Select 15 Credits,"At least 12 credits must be taken within the Penn State system, including 3 credits at the 400 level. No more than 6 credits may be from study-abroad courses. Students must declare the SOC minor prior to the end of the late drop period of the student’s final semester.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sociology-minor/
