Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Marine Sciences Minor,19,GEOSC 40,The Sea Around Us,3,Mandatory,"Courses offered by other institutions may be substituted for any of the required courses listed below, if accepted for transfer by the student's major department and approved by the Marine Sciences Committee. This includes up to 16 transfer credits from SOC. Upon completion of the requirements and no later than the tenth week of the semester in which the student is to graduate, he or she must verify in the Marine Sciences program office that the requirements have been met.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Students may also wish to transfer 6 credits of field-oriented course work from another institution with prior approval of the chair of the Marine Sciences minor.; Students may select METEO 496 with consent of instructor and Marine Sciences minor.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/marine-sciences-minor/
Marine Sciences Minor,19,BIOL 450W,N/A,,Select 0-3 Credits,"Courses offered by other institutions may be substituted for any of the required courses listed below, if accepted for transfer by the student's major department and approved by the Marine Sciences Committee. This includes up to 16 transfer credits from SOC. Upon completion of the requirements and no later than the tenth week of the semester in which the student is to graduate, he or she must verify in the Marine Sciences program office that the requirements have been met.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Students may also wish to transfer 6 credits of field-oriented course work from another institution with prior approval of the chair of the Marine Sciences minor.; Students may select METEO 496 with consent of instructor and Marine Sciences minor.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/marine-sciences-minor/
Marine Sciences Minor,19,BIOL 483,N/A,,Select 0-3 Credits,"Courses offered by other institutions may be substituted for any of the required courses listed below, if accepted for transfer by the student's major department and approved by the Marine Sciences Committee. This includes up to 16 transfer credits from SOC. Upon completion of the requirements and no later than the tenth week of the semester in which the student is to graduate, he or she must verify in the Marine Sciences program office that the requirements have been met.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Students may also wish to transfer 6 credits of field-oriented course work from another institution with prior approval of the chair of the Marine Sciences minor.; Students may select METEO 496 with consent of instructor and Marine Sciences minor.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/marine-sciences-minor/
Marine Sciences Minor,19,BIOL 499A,N/A,,Select 0-3 Credits,"Courses offered by other institutions may be substituted for any of the required courses listed below, if accepted for transfer by the student's major department and approved by the Marine Sciences Committee. This includes up to 16 transfer credits from SOC. Upon completion of the requirements and no later than the tenth week of the semester in which the student is to graduate, he or she must verify in the Marine Sciences program office that the requirements have been met.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Students may also wish to transfer 6 credits of field-oriented course work from another institution with prior approval of the chair of the Marine Sciences minor.; Students may select METEO 496 with consent of instructor and Marine Sciences minor.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/marine-sciences-minor/
Marine Sciences Minor,19,EARTH 240,N/A,,Select 0-3 Credits,"Courses offered by other institutions may be substituted for any of the required courses listed below, if accepted for transfer by the student's major department and approved by the Marine Sciences Committee. This includes up to 16 transfer credits from SOC. Upon completion of the requirements and no later than the tenth week of the semester in which the student is to graduate, he or she must verify in the Marine Sciences program office that the requirements have been met.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Students may also wish to transfer 6 credits of field-oriented course work from another institution with prior approval of the chair of the Marine Sciences minor.; Students may select METEO 496 with consent of instructor and Marine Sciences minor.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/marine-sciences-minor/
Marine Sciences Minor,19,EMSC 440,N/A,,Select 0-3 Credits,"Courses offered by other institutions may be substituted for any of the required courses listed below, if accepted for transfer by the student's major department and approved by the Marine Sciences Committee. This includes up to 16 transfer credits from SOC. Upon completion of the requirements and no later than the tenth week of the semester in which the student is to graduate, he or she must verify in the Marine Sciences program office that the requirements have been met.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Students may also wish to transfer 6 credits of field-oriented course work from another institution with prior approval of the chair of the Marine Sciences minor.; Students may select METEO 496 with consent of instructor and Marine Sciences minor.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/marine-sciences-minor/
Marine Sciences Minor,19,EMSC 441,N/A,,Select 0-3 Credits,"Courses offered by other institutions may be substituted for any of the required courses listed below, if accepted for transfer by the student's major department and approved by the Marine Sciences Committee. This includes up to 16 transfer credits from SOC. Upon completion of the requirements and no later than the tenth week of the semester in which the student is to graduate, he or she must verify in the Marine Sciences program office that the requirements have been met.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Students may also wish to transfer 6 credits of field-oriented course work from another institution with prior approval of the chair of the Marine Sciences minor.; Students may select METEO 496 with consent of instructor and Marine Sciences minor.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/marine-sciences-minor/
Marine Sciences Minor,19,ERM 496,N/A,,Select 0-3 Credits,"Courses offered by other institutions may be substituted for any of the required courses listed below, if accepted for transfer by the student's major department and approved by the Marine Sciences Committee. This includes up to 16 transfer credits from SOC. Upon completion of the requirements and no later than the tenth week of the semester in which the student is to graduate, he or she must verify in the Marine Sciences program office that the requirements have been met.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Students may also wish to transfer 6 credits of field-oriented course work from another institution with prior approval of the chair of the Marine Sciences minor.; Students may select METEO 496 with consent of instructor and Marine Sciences minor.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/marine-sciences-minor/
Marine Sciences Minor,19,GEOSC 410,N/A,,Select 0-3 Credits,"Courses offered by other institutions may be substituted for any of the required courses listed below, if accepted for transfer by the student's major department and approved by the Marine Sciences Committee. This includes up to 16 transfer credits from SOC. Upon completion of the requirements and no later than the tenth week of the semester in which the student is to graduate, he or she must verify in the Marine Sciences program office that the requirements have been met.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Students may also wish to transfer 6 credits of field-oriented course work from another institution with prior approval of the chair of the Marine Sciences minor.; Students may select METEO 496 with consent of instructor and Marine Sciences minor.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/marine-sciences-minor/
Marine Sciences Minor,19,BIOL 496,N/A,N/A,Select 0-3 Credits,"Courses offered by other institutions may be substituted for any of the required courses listed below, if accepted for transfer by the student's major department and approved by the Marine Sciences Committee. This includes up to 16 transfer credits from SOC. Upon completion of the requirements and no later than the tenth week of the semester in which the student is to graduate, he or she must verify in the Marine Sciences program office that the requirements have been met.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Students may also wish to transfer 6 credits of field-oriented course work from another institution with prior approval of the chair of the Marine Sciences minor.; Students may select METEO 496 with consent of instructor and Marine Sciences minor.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/marine-sciences-minor/
