Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Food Systems Minor,18,NUTR 100,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-systems-minor/
Food Systems Minor,18,NUTR 175,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-systems-minor/
Food Systems Minor,18,NUTR 251,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-systems-minor/
Food Systems Minor,18,HM/FDSYS 407,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-systems-minor/
Food Systems Minor,18,Topic Area: Human and Social Dimensions:,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-systems-minor/
Food Systems Minor,18,CED/FDSYS 442,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-systems-minor/
Food Systems Minor,18,CI 304N,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-systems-minor/
Food Systems Minor,18,GEOG 3N,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-systems-minor/
Food Systems Minor,18,HIST 111,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-systems-minor/
Food Systems Minor,18,Agricultural and Environmental Sciences:,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-systems-minor/
