Certificate,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Science Research Distinction,7,SC 494,,1.0,Mandatory,"To earn an undergraduate certificate in Science Research Distinction, a minimum of 7 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/science-research-distinction-certificate/
Science Research Distinction,7,ASTRO 296,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Science Research Distinction, a minimum of 7 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/science-research-distinction-certificate/
Science Research Distinction,7,ASTRO 496,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Science Research Distinction, a minimum of 7 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/science-research-distinction-certificate/
Science Research Distinction,7,BIOL 296,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Science Research Distinction, a minimum of 7 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/science-research-distinction-certificate/
Science Research Distinction,7,BIOL 496,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Science Research Distinction, a minimum of 7 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/science-research-distinction-certificate/
Science Research Distinction,7,BMB 488,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Science Research Distinction, a minimum of 7 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/science-research-distinction-certificate/
Science Research Distinction,7,BMB 496,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Science Research Distinction, a minimum of 7 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/science-research-distinction-certificate/
Science Research Distinction,7,CHEM 294,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Science Research Distinction, a minimum of 7 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/science-research-distinction-certificate/
Science Research Distinction,7,CHEM 494,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Science Research Distinction, a minimum of 7 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/science-research-distinction-certificate/
Science Research Distinction,7,FRNSC 496,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Science Research Distinction, a minimum of 7 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/science-research-distinction-certificate/
Science Research Distinction,7,MATH 296,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Science Research Distinction, a minimum of 7 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/science-research-distinction-certificate/
Science Research Distinction,7,MATH 496,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Science Research Distinction, a minimum of 7 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/science-research-distinction-certificate/
Science Research Distinction,7,PHYS 296,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Science Research Distinction, a minimum of 7 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/science-research-distinction-certificate/
Science Research Distinction,7,PHYS 496,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Science Research Distinction, a minimum of 7 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/science-research-distinction-certificate/
Science Research Distinction,7,STAT 496,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Science Research Distinction, a minimum of 7 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/science-research-distinction-certificate/
