Certificate,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Engineering and Community Engagement,12,YFE 211,,3,Mandatory,"To earn an undergraduate certificate in Engineering and Community Engagement, a minimum of 12 credits is required.; Core requirements for the certificate program include courses in both:; These courses may be scheduled to satisfy general education requirements (GS/GH/US/IL) depending on the courses selected. Beyond that, students have various course options available to them to complete the 12-credit requirement for the certificate including project-based courses in:; Students will be strongly encouraged to meet with the program director to discuss and formulate their program of study in the certificate program.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-community-engagement-certificate/
Engineering and Community Engagement,12,EDSGN 452,,2,Mandatory,"To earn an undergraduate certificate in Engineering and Community Engagement, a minimum of 12 credits is required.; Core requirements for the certificate program include courses in both:; These courses may be scheduled to satisfy general education requirements (GS/GH/US/IL) depending on the courses selected. Beyond that, students have various course options available to them to complete the 12-credit requirement for the certificate including project-based courses in:; Students will be strongly encouraged to meet with the program director to discuss and formulate their program of study in the certificate program.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-community-engagement-certificate/
Engineering and Community Engagement,12,ENGR 496,,1-18,Mandatory,"To earn an undergraduate certificate in Engineering and Community Engagement, a minimum of 12 credits is required.; Core requirements for the certificate program include courses in both:; These courses may be scheduled to satisfy general education requirements (GS/GH/US/IL) depending on the courses selected. Beyond that, students have various course options available to them to complete the 12-credit requirement for the certificate including project-based courses in:; Students will be strongly encouraged to meet with the program director to discuss and formulate their program of study in the certificate program.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-community-engagement-certificate/
Engineering and Community Engagement,12,EDSGN 352,,3,Mandatory,"To earn an undergraduate certificate in Engineering and Community Engagement, a minimum of 12 credits is required.; Core requirements for the certificate program include courses in both:; These courses may be scheduled to satisfy general education requirements (GS/GH/US/IL) depending on the courses selected. Beyond that, students have various course options available to them to complete the 12-credit requirement for the certificate including project-based courses in:; Students will be strongly encouraged to meet with the program director to discuss and formulate their program of study in the certificate program.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-community-engagement-certificate/
Engineering and Community Engagement,12,EDSGN 395,,3,Select N/A Credits,"To earn an undergraduate certificate in Engineering and Community Engagement, a minimum of 12 credits is required.; Core requirements for the certificate program include courses in both:; These courses may be scheduled to satisfy general education requirements (GS/GH/US/IL) depending on the courses selected. Beyond that, students have various course options available to them to complete the 12-credit requirement for the certificate including project-based courses in:; Students will be strongly encouraged to meet with the program director to discuss and formulate their program of study in the certificate program.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-community-engagement-certificate/
Engineering and Community Engagement,12,ENGR 408,,3,Select N/A Credits,"To earn an undergraduate certificate in Engineering and Community Engagement, a minimum of 12 credits is required.; Core requirements for the certificate program include courses in both:; These courses may be scheduled to satisfy general education requirements (GS/GH/US/IL) depending on the courses selected. Beyond that, students have various course options available to them to complete the 12-credit requirement for the certificate including project-based courses in:; Students will be strongly encouraged to meet with the program director to discuss and formulate their program of study in the certificate program.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-community-engagement-certificate/
Engineering and Community Engagement,12,ENGR 411,,3,Select N/A Credits,"To earn an undergraduate certificate in Engineering and Community Engagement, a minimum of 12 credits is required.; Core requirements for the certificate program include courses in both:; These courses may be scheduled to satisfy general education requirements (GS/GH/US/IL) depending on the courses selected. Beyond that, students have various course options available to them to complete the 12-credit requirement for the certificate including project-based courses in:; Students will be strongly encouraged to meet with the program director to discuss and formulate their program of study in the certificate program.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-community-engagement-certificate/
Engineering and Community Engagement,12,ENGR 425,,3,Select N/A Credits,"To earn an undergraduate certificate in Engineering and Community Engagement, a minimum of 12 credits is required.; Core requirements for the certificate program include courses in both:; These courses may be scheduled to satisfy general education requirements (GS/GH/US/IL) depending on the courses selected. Beyond that, students have various course options available to them to complete the 12-credit requirement for the certificate including project-based courses in:; Students will be strongly encouraged to meet with the program director to discuss and formulate their program of study in the certificate program.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-community-engagement-certificate/
Engineering and Community Engagement,12,ENGR 493,,3,Select N/A Credits,"To earn an undergraduate certificate in Engineering and Community Engagement, a minimum of 12 credits is required.; Core requirements for the certificate program include courses in both:; These courses may be scheduled to satisfy general education requirements (GS/GH/US/IL) depending on the courses selected. Beyond that, students have various course options available to them to complete the 12-credit requirement for the certificate including project-based courses in:; Students will be strongly encouraged to meet with the program director to discuss and formulate their program of study in the certificate program.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-community-engagement-certificate/
