Certificate,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Advanced Instructor Development for Professionals,9,WFED 413,,3,Mandatory,"To earn an undergraduate certificate in Advanced Instructor Development for Professionals, a minimum of 9 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/education/advanced-instructor-development-professionals-certificate/
Advanced Instructor Development for Professionals,9,WFED 471,,3,Mandatory,"To earn an undergraduate certificate in Advanced Instructor Development for Professionals, a minimum of 9 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/education/advanced-instructor-development-professionals-certificate/
Advanced Instructor Development for Professionals,9,WFED 270,,3,Mandatory,"To earn an undergraduate certificate in Advanced Instructor Development for Professionals, a minimum of 9 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/education/advanced-instructor-development-professionals-certificate/
