Certificate,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Earth Sustainability,12,EARTH 103,,3.0,Mandatory,"To earn an undergraduate certificate in Earth Sustainability, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sustainability-certificate/
Earth Sustainability,12,EARTH 104N,,3.0,Select 9 Credits,"To earn an undergraduate certificate in Earth Sustainability, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sustainability-certificate/
Earth Sustainability,12,EARTH 107N,,3.0,Select 9 Credits,"To earn an undergraduate certificate in Earth Sustainability, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sustainability-certificate/
Earth Sustainability,12,EARTH 109,,3.0,Select 9 Credits,"To earn an undergraduate certificate in Earth Sustainability, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sustainability-certificate/
Earth Sustainability,12,EARTH 111,,3.0,Select 9 Credits,"To earn an undergraduate certificate in Earth Sustainability, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sustainability-certificate/
Earth Sustainability,12,GEOG 3N,,3.0,Select 9 Credits,"To earn an undergraduate certificate in Earth Sustainability, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sustainability-certificate/
