Certificate,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Community Forestry,15,HORT 301,,3,Mandatory,"To earn an undergraduate certificate in Community Forestry, a minimum of 15 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/community-forestry-certificate/
Community Forestry,15,SOILS 101,,3,Mandatory,"To earn an undergraduate certificate in Community Forestry, a minimum of 15 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/community-forestry-certificate/
Community Forestry,15,FOR 401,,3,Mandatory,"To earn an undergraduate certificate in Community Forestry, a minimum of 15 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/community-forestry-certificate/
Community Forestry,15,HORT 408,,3-4,Mandatory,"To earn an undergraduate certificate in Community Forestry, a minimum of 15 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/community-forestry-certificate/
Community Forestry,15,SOILS 404,,3,Mandatory,"To earn an undergraduate certificate in Community Forestry, a minimum of 15 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/community-forestry-certificate/
Community Forestry,15,CAS 404,,3,Select N/A Credits,"To earn an undergraduate certificate in Community Forestry, a minimum of 15 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/community-forestry-certificate/
Community Forestry,15,CED 327,,3,Select N/A Credits,"To earn an undergraduate certificate in Community Forestry, a minimum of 15 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/community-forestry-certificate/
Community Forestry,15,ERM 411,,3,Select N/A Credits,"To earn an undergraduate certificate in Community Forestry, a minimum of 15 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/community-forestry-certificate/
Community Forestry,15,FOR 450W,,3,Select N/A Credits,"To earn an undergraduate certificate in Community Forestry, a minimum of 15 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/community-forestry-certificate/
