Certificate,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Global Environmental Systems,12,GEOG 210,,3.0,Mandatory,"To earn an undergraduate certificate in Global Environmental Systems, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/global-environmental-systems-certificate/
Global Environmental Systems,12,GEOG 310,,3.0,Select 9 Credits,"To earn an undergraduate certificate in Global Environmental Systems, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/global-environmental-systems-certificate/
Global Environmental Systems,12,GEOG 310W,,3.0,Select 9 Credits,"To earn an undergraduate certificate in Global Environmental Systems, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/global-environmental-systems-certificate/
Global Environmental Systems,12,GEOG 314,,3.0,Select 9 Credits,"To earn an undergraduate certificate in Global Environmental Systems, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/global-environmental-systems-certificate/
Global Environmental Systems,12,GEOG 315,,3.0,Select 9 Credits,"To earn an undergraduate certificate in Global Environmental Systems, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/global-environmental-systems-certificate/
Global Environmental Systems,12,GEOG 410,,3.0,Select 9 Credits,"To earn an undergraduate certificate in Global Environmental Systems, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/global-environmental-systems-certificate/
Global Environmental Systems,12,GEOG 411,,3.0,Select 9 Credits,"To earn an undergraduate certificate in Global Environmental Systems, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/global-environmental-systems-certificate/
Global Environmental Systems,12,GEOG 411W,,3.0,Select 9 Credits,"To earn an undergraduate certificate in Global Environmental Systems, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/global-environmental-systems-certificate/
Global Environmental Systems,12,GEOG 412W,,3.0,Select 9 Credits,"To earn an undergraduate certificate in Global Environmental Systems, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/global-environmental-systems-certificate/
Global Environmental Systems,12,GEOG 414,,3.0,Select 9 Credits,"To earn an undergraduate certificate in Global Environmental Systems, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/global-environmental-systems-certificate/
Global Environmental Systems,12,GEOG 417,,3.0,Select 9 Credits,"To earn an undergraduate certificate in Global Environmental Systems, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/global-environmental-systems-certificate/
Global Environmental Systems,12,GEOG 431,,3.0,Select 9 Credits,"To earn an undergraduate certificate in Global Environmental Systems, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/global-environmental-systems-certificate/
Global Environmental Systems,12,GEOG 438W,,3.0,Select 9 Credits,"To earn an undergraduate certificate in Global Environmental Systems, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/global-environmental-systems-certificate/
