Certificate,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Museum Studies,12,ARTH 495,,3.0,Mandatory,"To earn an undergraduate certificate in Museum Studies, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/museum-studies-certificate/
Museum Studies,12,AMST 480,,3.0,Select N/A Credits,"To earn an undergraduate certificate in Museum Studies, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/museum-studies-certificate/
Museum Studies,12,ANTH 380,,3.0,Select N/A Credits,"To earn an undergraduate certificate in Museum Studies, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/museum-studies-certificate/
Museum Studies,12,ARTH 409,,3.0,Select N/A Credits,"To earn an undergraduate certificate in Museum Studies, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/museum-studies-certificate/
Museum Studies,12,AED 101S,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Museum Studies, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/museum-studies-certificate/
Museum Studies,12,AED 201W,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Museum Studies, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/museum-studies-certificate/
Museum Studies,12,AED 211,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Museum Studies, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/museum-studies-certificate/
Museum Studies,12,AED 212,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Museum Studies, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/museum-studies-certificate/
Museum Studies,12,AED 488,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Museum Studies, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/museum-studies-certificate/
Museum Studies,12,AMST 480,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Museum Studies, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/museum-studies-certificate/
Museum Studies,12,AMST 482,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Museum Studies, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/museum-studies-certificate/
Museum Studies,12,ANTH 220,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Museum Studies, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/museum-studies-certificate/
Museum Studies,12,ANTH 380,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Museum Studies, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/museum-studies-certificate/
Museum Studies,12,ANTH 433,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Museum Studies, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/museum-studies-certificate/
Museum Studies,12,ART 409,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Museum Studies, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/museum-studies-certificate/
Museum Studies,12,ART 411,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Museum Studies, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/museum-studies-certificate/
Museum Studies,12,ART 477,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Museum Studies, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/museum-studies-certificate/
Museum Studies,12,ARTH 100,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Museum Studies, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/museum-studies-certificate/
Museum Studies,12,ARTH 409,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Museum Studies, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/museum-studies-certificate/
Museum Studies,12,ARTH 410,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Museum Studies, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/museum-studies-certificate/
Museum Studies,12,ARTH 495,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Museum Studies, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/museum-studies-certificate/
Museum Studies,12,ARTSA 301,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Museum Studies, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/museum-studies-certificate/
Museum Studies,12,ARTSA 402W,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Museum Studies, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/museum-studies-certificate/
Museum Studies,12,ARTSA 403,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Museum Studies, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/museum-studies-certificate/
