Certificate,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Small Group Conflict and Collaboration,15,SOC 469,,6,Mandatory,"To earn an undergraduate certificate in Small Group Conflict and Collaboration, a minimum of 15 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/small-group-conflict-collaboration-certificate/
Small Group Conflict and Collaboration,15,LA 496,,6,Mandatory,"To earn an undergraduate certificate in Small Group Conflict and Collaboration, a minimum of 15 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/small-group-conflict-collaboration-certificate/
Small Group Conflict and Collaboration,15,SOC 369,,3-4,Mandatory,"To earn an undergraduate certificate in Small Group Conflict and Collaboration, a minimum of 15 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/small-group-conflict-collaboration-certificate/
