Year,Semester,Course,Credits
First Year,Fall,ENGL 15 or  30H (GWS)‡,3
First Year,Spring,ANSC 100 (GN)*1,3
First Year,Fall,AGBM 101 or ECON  102 (GS)†,3
First Year,Spring,BIOL 110 (GN)†,4
First Year,Fall,CHEM 130 (GN)†,3
First Year,Spring,Additional Selection in Consultation with Adviser,3
First Year,Fall,ANSC 150S (FYS),2
First Year,Spring,General Education Course (GQ)‡,3-4
First Year,Fall,General Education Course (GQ)‡,3-4
First Year,Spring,General Education Course (GA),3
Second Year,Fall,ANSC 207*1,2
Second Year,Spring,ANSC 201*1,4
Second Year,Fall,ANSC 208*1,1
Second Year,Spring,BMB 211,3
Second Year,Fall,ANSC 290*1,1
Second Year,Spring,CAS 100A (GWS)‡,3
Second Year,Fall,CHEM 202,3
Second Year,Spring,General Education Course (Inter-Domain),3
Second Year,Fall,Additional Selection in Consultation With Adviser,3
Second Year,Spring,General Education Course (GHW),3
Third Year,Fall,ANSC 301*1,3
Third Year,Spring,ANSC 300*1,3
Third Year,Fall,ANSC 3221,3
Third Year,Spring,ANSC 3311,3
Third Year,Fall,MICRB 106 (GN)†,3
Third Year,Spring,"ENGL 202A,  202B,  202C, or  202D (GWS)‡2",3
Third Year,Fall,MICRB 107 (GN)†,1
Third Year,Spring,ANSC Selection,3
Third Year,Fall,300-Level Production*1,3-4
Third Year,Spring,"General Education Course (GA, GH, GS)",3
Fourth Year,Fall,ANSC Selection at 400-Level,3
Fourth Year,Spring,ANSC/Other Selection,3
Fourth Year,Fall,ANSC/Other Selection,3
Fourth Year,Spring,ANSC/Other Selection,3
Fourth Year,Fall,ANSC/Other Selection,3
Fourth Year,Spring,ANSC/Other Selection,3
Fourth Year,Fall,ANSC/Other Selection,3
Fourth Year,Spring,ANSC/Other Selection,3
Fourth Year,Fall,Other Selection,3
Fourth Year,Spring,Other Selection,3
