Year,Semester,Course,Credits
First Year,Fall,MATH 140 or  140G (GQ)*‡#†,4
First Year,Spring,MATH 141 or  141G (GQ)*‡†,4
First Year,Fall,CHEM 110 (GN)†,3
First Year,Spring,"ENGL 15,  30H, or ESL  15 (GWS)‡†",3
First Year,Fall,EMSC 100S (GWS)‡†1,3
First Year,Spring,PHYS 211 (GN)†,4
First Year,Fall,METEO 201*,3
First Year,Spring,"METEO 273, CMPSC  101, CMPSC  200, CMPSC  201, or CMPSC 202",3
Second Year,Fall,PHYS 212 (GN)†,4
Second Year,Spring,METEO 431*,3
Second Year,Fall,METEO 300*,4
Second Year,Spring,MATH 251,4
Second Year,Fall,MATH 230*2,4
Second Year,Spring,STAT 301 or STAT  401,3
Second Year,Fall,General Education Knowledge Domain,3
Second Year,Spring,General Education Knowledge Domain,3
Third Year,Fall,METEO 421*,4
Third Year,Spring,METEO 470*,3
Third Year,Fall,"METEO 436,  437, or  454*",3
Third Year,Spring,METEO 440W*,3
Third Year,Fall,METEO 411*,4
Third Year,Spring,General Education Foundation Selection (GWS)‡†1,3
Third Year,Fall,METEO 473 or  474*,3
Third Year,Spring,General Education Knowledge Domain,3
Fourth Year,Fall,General Education Knowledge Domain,3
Fourth Year,Spring,Professional Elective3,3
Fourth Year,Fall,General Education Knowledge Domain,3
Fourth Year,Spring,Professional Elective3,3
Fourth Year,Fall,Professional Elective3,3
Fourth Year,Spring,Professional Elective3,3
Fourth Year,Fall,Professional Elective3,3
Fourth Year,Spring,Elective,3
Fourth Year,Fall,Professional Elective3,3
Fourth Year,Spring,Elective,4
