major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Middle East Studies B.A.,CMLIT 7|HIST/ARAB/RLST 165|HIST/JST 190|PLSC 267N|RLST 107|ANTH/JST/PLSC/SOC 60N|ARAB 1|ARAB 2|ARAB 3|ARAB 110|ARAB/RLST 164|ARAB/HIST/RLST 165|ARAB 401|ARAB 402|ARTH 125|ASIA/HIST/JST 186|ASIA 401|CAMS 10|CAMS 10U|CAMS 20|CAMS/RLST 44|CAMS/JST/RLST 90|CAMS/HIST/JST/RLST 102|CAMS/HIST 104|CAMS 115|CAMS 405|CAMS 470|CMLIT 7|CMLIT 449|HEBR 1|HEBR 2|HEBR 3|HEBR 401|HEBR 402|HIST 105|HIST 106|HIST 108|HIST/JST 140|HIST 169|HIST/JST 193|HIST 238N|HIST 245|HIST 252|HIST/JST 260|HIST/JST 416|HIST/RLST 423|HIST/JST 443|HIST/RLST 471Y|HIST 472|HIST/JST 473|PLSC 267N|PLSC 467|RLST 107,,3.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-ba/
Middle East Studies B.A.,HIST 305 | JST 305Y,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-ba/
Middle East Studies B.A.,HIST 181 | JST 181,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-ba/
